product_id,product_name,category
776efa5e-5fc1-499c-af9f-eb6ac465234c,Organic Apples,Fruit
ed7d48cf-14df-4442-a59f-2b9b25afacc7,Almond Milk,Dairy
06834baa-35cc-49d8-8379-bc4e2ccbd61a,Whole Wheat Bread,Bakery
c149aff3-3b7b-4391-a2c1-7974e4cf083f,Ground Coffee,Beverages
565e15ea-aa0b-4c90-91a5-8eca620eaf66,Orange Juice,Beverages
ff93357b-d490-4dc5-a773-7183a0c3e122,Chicken Breast,Meat
779851ce-26fd-455b-b313-d408ec90c18f,Cheddar Cheese,Dairy
ebb250a9-2a73-45e4-b503-e34a5d499014,Romaine Lettuce,Vegetables
d99f195f-c737-48f4-b1ec-98e97c771ffd,Brown Rice,Grains
e8083238-1419-471e-93e1-25463dcce67a,Granola Bars,Snacks
e3bc2ab8-6e76-48e2-92a0-e4f1f27ea0bc,Greek Yogurt,Dairy
f2d13b31-67cd-4dcc-a00e-da583d174cec,Tomato Soup,Canned Goods
80c144ee-2c07-4ee9-8778-8198ec6b3c12,Chocolate Chip Cookies,Snacks
a7a0d1a6-2fae-4095-b218-d33ba7f89bbc,Peanut Butter,Condiments
16ec1185-6380-444c-beb8-306049d1eed5,Spaghetti Pasta,Grains
b0d7afc2-bc3d-4b8c-b528-0302113b7e80,Olive Oil,Condiments
46161afc-0b2f-4018-bde9-cffb1484233e,Salmon Fillet,Meat
42840604-ba4f-45e9-b89a-e54ad1b3d8fc,Carrots,Vegetables
df9c4860-dfbc-48b7-bdda-151513aec51f,Strawberries,Fruit
cfdaf658-8fc6-4ca1-89ec-bb89dd3f2a8f,Energy Drink,Beverages
39d07259-0736-4a52-b188-e58a57fd4d10,Potato Chips,Snacks
8d954cbc-f7ec-47b9-8108-3df8e61dd04e,Whole Milk,Dairy
b5991c56-e291-4865-8096-c294000f2875,Eggs,Dairy
de4740c0-6dd7-4e63-a406-8c601cf85f27,Turkey Sausage,Meat
24627162-4278-43d3-a8fc-bad5a0b0d2cd,Spinach,Vegetables
4f30dd6c-1470-48ef-9145-5a527f022362,Avocado,Fruit
81d53547-43d0-4743-a70a-8b89f519ebb1,Black Beans,Canned Goods
618abed2-9361-4906-a06e-661dec867184,Apple Pie,Bakery
7fdd5b57-5940-4694-b5f4-d3bed1867b60,Multigrain Cereal,Breakfast
380fa250-fe6d-4155-adfc-ea3d7d5654f5,Green Tea,Beverages
bd8a19b3-c86d-4969-b7e4-8a87233f5958,Honey,Condiments
85dae690-f228-43ab-901b-4a9b667c67aa,Beef Steak,Meat
a01c1b22-38b9-4424-8fd8-f1f9a622267a,Blueberries,Fruit
76482205-c170-49f4-95d9-29f1c0e4131d,Zucchini,Vegetables
7f5412d3-a91c-497d-b019-ca285575e455,French Baguette,Bakery
c0e7d22d-45c2-45e2-9994-38c67e622b05,Popcorn,Snacks
bcbd6c80-c7ac-4b0b-9868-577411f31561,Vanilla Ice Cream,Frozen
f10c6ee0-d446-4078-aa65-b16e3b30b002,Mixed Vegetables,Frozen
65c0b614-cddf-4a0e-9338-2c6b9f9cd2d6,Bottled Water,Beverages
a9393ae3-daeb-42c6-8b8a-1efe1762c59d,Oatmeal,Breakfast
c6e22882-ab6f-4b40-a811-57c2b0a4ae5d,Shredded Mozzarella,Dairy
e0afe57d-aaf2-4cd9-b1d3-579ee656a38f,Frozen Pizza,Frozen
421f3c34-8213-422b-b57e-8a7515e20034,Barbecue Sauce,Condiments
8a42b3b8-fe31-49e2-bf77-040c1984af1c,Hot Dogs,Meat
4a2ca160-aec2-4665-be44-61fd561edfba,Yellow Onions,Vegetables
25c316b1-cba0-42c8-aa14-43f31f758e2b,Chocolate Cake,Bakery
f6cc844a-34de-4cb3-9ffc-c9356d2c00ea,Bagels,Bakery
4c5a307e-78b9-4290-89d0-aa95b6fed8cd,Canned Tuna,Canned Goods
6a8c7b88-109d-4c16-b8a4-dd746a85cf9c,Pancake Mix,Breakfast
dd98c054-b910-4d10-991d-82adca90c819,Raspberries,Fruit
